Nintervals,seed,n_clusters,noise_count,noise_pct,n_brown,n_transition,n_green,chi_min,chi_max,chi_mean,chi_std,clusters_per_interval,mean_cluster_size,median_cluster_size,max_cluster_size,min_cluster_size,chi_per_cluster,size_per_cluster,interval_per_cluster
3,42,6,13214,6.607,2,2,2,0.15189719200134277,0.8128604292869568,0.41979971528053284,0.26912230253219604,"[0, 0, 1, 1, 2, 2]",31131.0,19001.0,89339,73,"[0.16269396245479584, 0.15189719200134277, 0.333782434463501, 0.2931598722934723, 0.7644043564796448, 0.8128604292869568]","[32283, 89339, 56234, 73, 5719, 3138]","[0, 0, 1, 1, 2, 2]"
3,123,4,70537,35.2685,2,0,2,0.15118207037448883,0.8120138645172119,0.4717305302619934,0.31586888432502747,"[0, 0, 2, 2]",32365.75,18876.5,88672,3038,"[0.16156841814517975, 0.15118207037448883, 0.7621577382087708, 0.8120138645172119]","[31820, 88672, 5933, 3038]","[0, 0, 2, 2]"
3,456,6,13208,6.604,2,2,2,0.15180228650569916,0.8128712773323059,0.419717401266098,0.26911598443984985,"[0, 0, 1, 1, 2, 2]",31132.0,18951.0,89331,73,"[0.16267064213752747, 0.15180228650569916, 0.3335796892642975, 0.2931598722934723, 0.764220654964447, 0.8128712773323059]","[32178, 89331, 56347, 73, 5724, 3139]","[0, 0, 1, 1, 2, 2]"
5,42,21,23945,11.9725,4,13,4,0.1202060878276825,0.8625782132148743,0.3923990726470947,0.2304157316684723,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4]",8383.57142857143,379.0,56502,57,"[0.1202060878276825, 0.12220536917448044, 0.21283790469169617, 0.22470207512378693, 0.30798596143722534, 0.3100934624671936, 0.31183943152427673, 0.31761080026626587, 0.31199944019317627, 0.3386635184288025, 0.314915269613266, 0.3230573236942291, 0.3369213342666626, 0.3209211230278015, 0.3123492896556854, 0.3330349624156952, 0.3209088444709778, 0.8467390537261963, 0.8625782132148743, 0.8544211387634277, 0.8363893628120422]","[16342, 56502, 44587, 17728, 379, 493, 240, 120, 107, 122, 123, 87, 57, 115, 76, 32709, 139, 1059, 1411, 2975, 684]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4]"
5,123,20,23971,11.9855,4,12,4,0.11983555555343628,0.8624384999275208,0.39620131254196167,0.23541368544101715,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4]",8801.45,398.0,56143,57,"[0.11983555555343628, 0.12191032618284225, 0.21217498183250427, 0.22408972680568695, 0.3087076246738434, 0.3109673261642456, 0.3196500837802887, 0.3386635184288025, 0.31063148379325867, 0.31426936388015747, 0.3219620883464813, 0.3369213342666626, 0.3205214738845825, 0.3124292194843292, 0.33216920495033264, 0.31983765959739685, 0.846370279788971, 0.8624384999275208, 0.854313313961029, 0.8361634016036987]","[16217, 56143, 44707, 17792, 545, 251, 147, 122, 118, 121, 86, 57, 110, 77, 33255, 144, 1067, 1412, 2973, 685]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4]"
5,456,18,24242,12.121,4,11,3,0.12025675922632217,0.8645141124725342,0.3743031322956085,0.22308886051177979,"[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4]",9764.333333333334,401.5,56541,79,"[0.12025675922632217, 0.12223890423774719, 0.21254248917102814, 0.22418908774852753, 0.3074411153793335, 0.31083551049232483, 0.31953421235084534, 0.33561214804649353, 0.31031370162963867, 0.31338372826576233, 0.3231380879878998, 0.3208405673503876, 0.3114255964756012, 0.3309844732284546, 0.31965985894203186, 0.8411546945571899, 0.8493911027908325, 0.8645141124725342]","[16359, 56541, 44305, 17523, 548, 255, 147, 121, 119, 120, 94, 112, 79, 33059, 145, 713, 4610, 908]","[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4]"
7,42,20,18902,9.451,6,12,2,0.09780021011829376,0.8800011277198792,0.3448101580142975,0.19993826746940613,"[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 6, 6]",9054.9,999.0,38223,74,"[0.09780021011829376, 0.1028214544057846, 0.1665608435869217, 0.164089173078537, 0.23331888020038605, 0.2353043407201767, 0.3054039478302002, 0.3026087284088135, 0.3160723149776459, 0.3060019016265869, 0.3143056631088257, 0.3183785676956177, 0.31583401560783386, 0.3128587305545807, 0.4018014371395111, 0.4226582646369934, 0.42682233452796936, 0.4033636748790741, 0.8800011277198792, 0.870197057723999]","[11705, 31254, 13614, 38223, 37178, 3352, 406, 502, 112, 135, 134, 88, 26032, 82, 74, 149, 12790, 90, 3682, 1496]","[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 6, 6]"
7,123,16,27349,13.6745,6,7,3,0.10034854710102081,0.8844801187515259,0.37020888924598694,0.25660860538482666,"[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6]",10790.6875,1018.0,42213,72,"[0.10034854710102081, 0.10525763034820557, 0.17225447297096252, 0.1692737638950348, 0.24232260882854462, 0.22641080617904663, 0.3174781799316406, 0.3242086172103882, 0.32112762331962585, 0.33114108443260193, 0.3257215917110443, 0.32912200689315796, 0.31948602199554443, 0.8794987797737122, 0.8844801187515259, 0.8752108812332153]","[12498, 33936, 14679, 38566, 42213, 238, 489, 164, 90, 121, 148, 24442, 72, 802, 2959, 1234]","[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6]"
7,456,16,30019,15.0095,6,7,3,0.10087461024522781,0.8821210265159607,0.37109747529029846,0.25504937767982483,"[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6]",10623.8125,1542.5,38428,72,"[0.10087461024522781, 0.10572916269302368, 0.17326699197292328, 0.1701529622077942, 0.24315530061721802, 0.24415360391139984, 0.31720584630966187, 0.3242086172103882, 0.32081395387649536, 0.33114108443260193, 0.32654181122779846, 0.32807207107543945, 0.31948602199554443, 0.8778182864189148, 0.8821210265159607, 0.8728182315826416]","[12670, 34459, 14866, 38428, 37683, 1824, 487, 164, 88, 121, 150, 23877, 72, 813, 3018, 1261]","[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6]"
